username,Extroversion,Agreeableness,Consciouness,LE,LA,LC
h3llatrash,1,0,#,0,0,1
azharizkita,1,0,#,0,0,1
jooshpn,0,0,#,0,1,1
yaelahir,1,#,#,0,1,0
azwardfauzan,#,#,#,0,1,1
dzakimadhani,#,0,#,1,1,1
shafwan25,1,0,#,1,1,1
alfrisadivaw,#,#,#,0,1,0
idrisg8,1,0,#,0,1,1
arangkecap,#,0,#,1,1,1
yuuta__96,#,#,#,0,1,0
chandnidevi,#,0,#,1,1,1
adputri_,1,#,1,0,1,1
mhswkedokteran,#,#,#,0,1,0
amalianadiene,#,#,#,1,1,1
msyitams,#,#,#,1,1,0
pocagurii,1,0,#,1,1,0
susheetrashh,#,#,#,1,1,0
ysyni,#,#,#,1,1,1
aisyahnpermata,0,1,1,1,1,1
yudkuswar,1,#,#,1,1,1
joabaldo,#,0,#,1,1,1
pujaypujilpuu,#,0,#,1,1,1
maulanariandi,1,0,#,1,1,1
vnyriany,#,0,#,1,1,1
runulhoran,#,0,#,1,1,0
classmlild,#,0,#,1,1,0
melanifi796,#,#,#,0,1,1
awwlltl,#,0,#,1,1,0
anakyangtangkas,1,#,#,1,1,1
nisable23,#,#,#,0,1,1
akuuuberuang,#,0,#,1,1,0
kokocrvnch,1,#,#,1,1,1
rio64967228,1,#,#,1,1,1
fia_lutfiazhari,0,0,#,1,1,1
marisahafsyah94,#,0,#,1,1,1
oziechonky,1,#,#,1,1,1
rzqmentari,#,#,#,1,1,1
estlrsty,#,0,#,0,1,1
copcopiaa,#,#,#,1,1,0
introperti,#,0,#,0,1,1
bodoamatbrou,#,0,#,1,0,1
lerinarin,#,0,#,0,1,0
rierabcd,#,0,#,0,1,0
andrisuartikaa,#,#,#,1,1,1
imadamii,1,0,#,1,1,0
keiziasyf,1,0,#,1,0,1
auliaerical1,#,0,#,0,1,1
g1tsy,#,0,#,0,0,0
kerakteloorr,#,0,#,1,1,1
dellapj_,#,0,#,1,1,1
adlfynf,#,#,#,0,1,1
viasyafiqa,#,0,#,0,1,1
miftahulilma10,1,0,#,1,1,0
cmaudee,#,#,#,0,1,0
ivyeol,1,0,#,0,1,1
alaaini1,#,0,#,1,1,0
redhotobing,#,#,#,0,1,0
ociirosiana,#,#,#,1,1,1
vnessapatricia,1,#,#,1,1,1
elzr13,1,0,#,1,1,0
adindahapsa,#,#,#,1,1,1
rarraayu,1,#,#,0,1,1
ana_ot,1,0,#,1,1,0
deliahndt,0,#,#,0,0,1
bananamilxxx,#,0,#,1,0,0
owkowkok,#,0,#,0,1,0
anneestah,#,#,#,1,1,1
hazizaanifa,#,0,#,1,1,1
bukanrohalia,#,0,#,0,0,1
berlianaefbryn,1,#,#,1,1,1
apriliarathia,#,#,#,1,0,1
littaks,#,0,#,0,1,1
ardianitaap,#,1,#,1,1,1
cipipiw,0,0,#,0,1,1
imaashoima,1,#,#,0,1,0
nadihng,1,#,#,1,1,1
Imbond,#,0,#,1,1,0
punyauname,#,0,#,0,1,0
neftari_tasya,#,0,#,0,1,1
nggitw,1,#,#,1,0,0
destandriyani,#,0,#,1,1,0
bibblegumm_,#,#,#,1,1,0
saccharinande,1,0,#,1,1,0
sora_alxean,1,#,#,1,1,1
dwraoktavia,#,#,#,1,1,0
liestianoviani,#,#,#,1,1,0
kepikbesar,#,#,#,0,1,1
rafitaasr,#,0,#,1,1,1
i_frankenstein,1,#,#,1,1,1
alaniafitri,#,#,#,0,1,1
febrianirevita,#,0,#,0,0,1
sundalaif,1,0,#,1,1,0
yokozka,1,#,#,0,1,0
rdtlfiqryaj,#,#,#,0,1,0
ajengptrna,1,#,#,1,1,1
sefticare,#,0,#,1,1,1
bukandove,#,0,#,1,1,1
silmiotmiot,#,#,#,1,1,0
metinaayu_,#,#,#,1,1,0
elidoff,#,0,#,1,1,0
denokdhena,#,0,#,1,1,1
lalenamanoban,#,0,#,0,1,1
temensopo,#,0,#,0,1,0
griffitpypiet,#,#,1,1,1,1
dheaniranabila,1,#,#,0,1,1
ki_cuu,#,#,#,1,1,0
aleshazha,1,#,1,1,1,1
indrayyyy_,#,0,#,1,1,0
ucciiill,0,#,#,0,0,0
hermajestyrania,#,#,#,0,0,1
dennisransun,1,#,#,1,1,1
v3isvthree,#,0,#,1,1,0
heyhestyy,#,0,#,1,1,1
timutiimuti,1,0,#,1,1,1
rvghalif,1,#,#,0,1,1
trisawardanis,1,0,#,0,1,1
tnrx_,#,0,#,0,1,1
sobatqasurr,0,0,#,0,1,0
zyoslin,1,0,#,1,1,0
ayrachma,0,0,#,1,1,1
munawaroh_mona,1,#,#,1,1,1
utho_,1,#,#,1,1,0
punyasaya,#,#,#,1,1,1
dalgonasachet,1,#,#,1,1,1
febbyjulietta,1,0,#,0,1,1
shobronabadan,1,#,#,0,1,0
hkawilarangg,1,#,#,1,0,1
mellahae,#,1,#,1,1,1
ptorianns,#,#,#,1,1,1
a2lir,1,0,#,1,1,0
biyaanhaz,#,0,#,1,0,1
afhklbc,#,#,1,0,1,1
lilstep95,#,0,#,1,0,1
oneperson01_,#,#,#,1,1,0
llakhr,#,0,#,0,1,1
sherinasharone6,1,1,#,0,1,0
normalvira,1,#,#,1,1,1
muthiaf10,#,#,#,1,1,1
prastikavivi,#,#,#,1,1,1
mokohh,#,#,#,1,0,1
nurulainiii,#,0,#,0,1,1
silvihoroni,#,0,#,1,1,1
diniheryani,1,#,#,1,1,1
ditdandep,0,0,#,0,1,1
itayimalsi,#,#,#,0,0,0
kasurlante,#,0,#,0,1,1
apdesti_,#,0,#,1,1,1
dinii731,1,#,#,1,1,1
rosaagstn,1,#,#,0,0,1
ladafiq,#,#,#,0,1,1
aldimaulana48,1,#,#,0,1,1
rahmatfathoni,1,0,#,0,1,0
nadiadjibran,1,#,#,0,1,0
nirmapatiung,#,0,#,1,1,1
tiaraindhprmt,1,#,#,0,1,0
akhsaraa,#,#,#,1,1,1
enarawk,#,#,1,0,1,0
inkafbrn,#,#,#,1,1,1
ervhans,1,#,#,1,1,0
nailazulfanz,#,#,#,1,1,1
andiniayu,#,0,#,1,1,1
dhika_fadhillah,#,#,#,0,1,0
donblagu_,#,#,#,0,1,1
kirannaurora,#,0,#,1,1,1
emanggemeshin,#,0,#,1,1,1
eggyfauzie,1,0,#,1,1,1
seacrabble,#,0,#,1,1,1
ilma678,#,0,#,0,1,1
ejakulasi_,#,0,#,0,0,0
ariefpopoh,1,#,#,1,1,1
raysaamelia23,#,0,#,1,1,0
yukyookyak,#,#,#,0,0,0
gramelt,#,0,#,1,1,1
gebiyaeputri,1,#,1,1,1,0
ugitugitmiskoi,#,0,#,1,1,1
astrifaj,#,0,#,1,1,1
rin_natalia,#,0,#,0,1,1
deviariyani_,#,#,#,0,1,1
nwindaputri,#,0,#,0,1,1
nisaanisar,#,#,#,0,1,1
tramadanur,1,#,#,1,0,0
_evilioni,#,#,#,1,1,1
dioaprimaisya,1,0,#,0,0,0
duwaaaay,#,0,#,0,0,0
lilamarsaaa,1,#,#,0,1,0
kingfatih,#,0,#,1,1,0
alitapuspa_,#,#,#,1,0,0
rkhusfa,1,0,#,1,1,1
fitrisip,#,#,1,0,1,1
yusrinasmarani,#,#,#,1,1,1
fridamayanti,1,0,#,1,1,0
abdee,#,#,#,1,1,1
almostbeyours,#,0,#,1,1,1
ursnflwr_,#,0,#,0,1,1
soubyai,#,#,#,1,0,0
novitakurniap,#,0,#,1,1,1
t_hndr,#,0,#,1,1,0
alfinalfinn,1,0,#,1,1,1
januarrmdhn,1,#,#,1,1,1
dwidys_,1,0,#,0,1,1
liayurh_,#,0,#,0,1,1
isnakhairi,#,0,#,1,1,0
nurmasusanti,#,1,1,1,1,1
kasurjalan,1,0,#,1,1,0
nurmasusanti,#,1,1,1,1,1
nurmasusanti,#,1,1,1,1,1
agus_trianto,1,#,#,1,0,0
kharismagpri,1,#,#,0,1,1
Nabilazathira,#,0,#,0,1,1
iyaininajau,#,0,#,0,1,0
ovilsp,0,0,#,0,1,0
virraaa_,#,0,#,0,0,1
_sylvialestari,#,#,#,0,1,0
baksopangsitnya,#,0,#,0,1,1
syaufanada,#,#,#,0,1,1
nanasambara,1,#,#,1,1,1
nurrohman95_,#,#,1,0,1,0
avidazr,#,0,#,1,0,0
alifahdellaf,#,0,#,1,0,0
ssjnhfi,#,#,#,0,1,1
jayantiftryn,1,0,#,1,1,0
firdahanifa_,#,0,#,0,1,1
ocintaaa,1,0,#,1,1,1
liawrdhani,#,0,#,0,0,0
husnavinaa,#,#,#,1,1,0
adinnda_ekhaa,#,#,#,1,1,0
rahmaarindapp,#,0,#,1,1,1
puteriroro,#,0,#,1,0,1
mellamotis,#,#,#,1,1,0
tahtaallfina,#,#,#,1,1,1
adityandr,1,0,#,0,1,1
northenlight18,#,#,#,1,1,1
claravanzaitand,#,0,#,0,0,0
inesprat_,#,#,#,1,1,1
yulfaariza,#,0,#,0,1,1
rohanahrey,#,#,#,1,1,1
arindyaf,1,0,#,1,1,1
gieskalaila,1,#,#,0,1,1
ranian__,#,#,#,0,1,0
sekarumn,#,#,#,0,0,0
joeniararief,#,#,0,1,1,0
amhryn,#,#,#,1,1,1
brilliaflah,1,#,#,0,1,1
linggaralfi,1,0,#,1,1,0
fhrz99,#,#,#,1,1,0
destaard,1,#,#,1,1,1
hendritamei1,1,#,#,0,1,0
anggalungg,#,0,#,0,1,0
rianita_sm,#,#,#,0,1,1
siti89nurjanah,#,0,#,0,0,1
iphune,1,#,#,1,1,0
vanillasvgar,1,#,#,1,1,1
kodelle_,#,0,#,1,1,1
kodelle_,#,0,#,1,1,1
phoebee_ip,0,0,#,0,1,0
kalisnakal,#,#,#,1,1,1
hlutami,#,#,#,1,1,0
r_fiika,1,0,#,0,1,1
hidadahida,#,0,#,0,1,1
attamufid,#,0,#,1,1,0
rpdelimaa,1,#,#,1,1,1
athayaanabila,#,#,#,1,1,1
pelangikecilll,0,#,#,1,1,0
iffamee,#,0,#,1,1,0
clv_a,1,#,#,1,1,1
yovimelan,#,#,#,1,1,1
yulinwt,1,1,#,1,1,1
destychaniaa,#,#,#,0,1,1
sweetenxerrrr,#,#,#,1,0,0
lulufrdni,#,0,#,1,1,1
youcan_it,#,0,#,0,1,1
asriyahasry,#,#,#,1,1,1
adamumemo,#,#,#,0,1,1
laylarmdhnaa,#,0,#,0,0,1
rizka_christian,1,0,#,0,0,0
renjanisp,0,#,#,1,1,1
firstyfelanda,#,#,#,0,1,1
renjanisp,0,#,#,1,1,1
okyranda,1,0,#,1,1,1
finaihsani,0,0,#,0,1,1
benrskbyg,1,#,#,0,1,0
zainihafiz98,0,#,#,1,1,0
rahmanizar_,1,#,#,0,0,1
